platform,title,meta_score,user_score,num_critics,num_users,genres,developer,release_date
pc,FOOTBALL MANAGER 2018,82,6,33,105 Ratings,"['Sports', 'Team', 'Football', 'Sim']",Sports Interactive,10-Nov-17
pc,TEKKEN 7,82,6.8,19,350 Ratings,"['Action', 'Fighting', '3D']",Bandai Namco Games,1-Jun-17
pc,STELLARIS: UTOPIA,82,7.8,10,38 Ratings,"['Strategy', 'Real-Time', 'General']",Paradox Development Studio,6-Apr-17
pc,PYRE,82,8,27,198 Ratings,"['Role-Playing', 'General']",Supergiant Games,25-Jul-17
pc,SUPER HYDORAH,82,tbd,7,,,,
pc,FORZA MOTORSPORT 7,82,4.9,17,263 Ratings,"['Racing', 'Simulation', 'Automobile']",Turn 10,3-Oct-17
pc,PREY,82,8.1,38,1353 Ratings,"['General', 'Action', 'Shooter', 'First-Person', 'Arcade']",Arkane Studios,5-May-17
pc,DARKEST DUNGEON: THE CRIMSON COURT,82,6.8,11,18 Ratings,"['Role-Playing', 'General']",Red Hook Studios,19-Jun-17
pc,SHE REMEMBERED CATERPILLARS,82,5.8,8,20 Ratings,"['Puzzle', 'Action']",Ysbryd Games,17-Jan-17
pc,TORMENT: TIDES OF NUMENERA,81,6.9,72,431 Ratings,"['General', 'General', 'Role-Playing', 'Western-Style']",InXile Entertainment,28-Feb-17
pc,RISING STORM 2: VIETNAM,81,7.5,18,150 Ratings,"['Action', 'Shooter', 'First-Person', 'Tactical']",Antimatter Games,30-May-17
pc,FAERIA,81,7.8,9,39 Ratings,"['Miscellaneous', 'Board / Card Game']",Abrakam SA,8-Mar-17
pc,FORTNITE,81,3,11,1339 Ratings,"['Action', 'General', 'General', 'Shooter', 'Third-Person', 'Tactical']",Epic Games,25-Jul-17
pc,FINDING PARADISE,81,8.5,18,174 Ratings,"['Role-Playing', 'Japanese-Style']",Freebird Games,14-Dec-17
pc,REIGNS: HER MAJESTY,81,7.4,13,25 Ratings,"['Simulation', 'General']",Nerial,6-Dec-17
pc,LITTLE NIGHTMARES,81,8,29,481 Ratings,"['General', 'Action Adventure', 'Linear']",Tarsier Studios,28-Apr-17
pc,FORM,81,tbd,7,,,,
pc,PRO EVOLUTION SOCCER 2018,81,7.1,10,168 Ratings,"['Sports', 'Team', 'Soccer', 'Sim']",Konami,12-Sep-17
pc,STORIES UNTOLD,81,7,21,82 Ratings,"['Adventure', 'Text']",No Code,27-Feb-17
pc,SLIME RANCHER,81,8,9,139 Ratings,"['Action', 'Shooter', 'First-Person', 'Arcade']",Monomi Park,1-Aug-17
pc,SOUTH PARK: THE FRACTURED BUT WHOLE,81,6.9,23,366 Ratings,"['Role-Playing', 'General']",Ubisoft San Francisco,17-Oct-17
pc,FIFA 18,81,2.8,8,369 Ratings,"['Sports', 'Team', 'Soccer', 'Sim']",EA Vancouver,26-Sep-17
pc,DISHONORED: DEATH OF THE OUTSIDER,81,7,24,260 Ratings,"['Action Adventure', 'General']",Arkane Studios,14-Sep-17
pc,ANTIHERO,81,7,14,21 Ratings,"['Strategy', 'Turn-Based', 'Tactics']",Tim Conkling,10-Jul-17
pc,THE ELDER SCROLLS: LEGENDS,80,5.5,17,108 Ratings,"['Miscellaneous', 'Board / Card Game']","Bethesda Softworks, Dire Wolf Digital",20-Mar-17
pc,ENDLESS SPACE 2,80,7.9,48,172 Ratings,"['Strategy', 'Turn-Based', '4X']",Amplitude Studios,19-May-17
pc,THE EVIL WITHIN 2,80,8.8,28,1001 Ratings,"['Action Adventure', 'Survival']",Tango Gameworks,12-Oct-17
pc,HAND OF FATE 2,80,7.4,27,62 Ratings,"['Miscellaneous', 'Board / Card Game']",Defiant Development,7-Nov-17
pc,FLINTHOOK,80,7,10,26 Ratings,"['Action', 'Platformer', '2D']",Tribute Games,18-Apr-17
pc,BATTLE BROTHERS,80,7.9,11,122 Ratings,"['Strategy', 'Turn-Based', 'Tactics']",Overhype Studios,24-Mar-17
pc,DARKWOOD,80,8.2,16,138 Ratings,"['Action Adventure', 'Horror', 'Survival']",Acid Wizard Studio,17-Jul-17
pc,THE LEGEND OF HEROES: TRAILS OF COLD STEEL,80,8.2,10,112 Ratings,"['Role-Playing', 'Japanese-Style']",Falcom,2-Aug-17
pc,TOOTH AND TAIL,80,7.8,17,37 Ratings,"['Strategy', 'Real-Time', 'General']",Pocketwatch Games,12-Sep-17
pc,THE SIMS 4: CATS & DOGS,80,5.1,9,69 Ratings,"['Simulation', 'Virtual', 'Virtual Life']",Maxis,10-Nov-17
pc,NIDHOGG 2,80,6.5,32,22 Ratings,"['Action', 'General']",Messhof,15-Aug-17
