platform,title,meta_score,user_score,num_critics,num_users,genres,developer,release_date
pc,DARKEST DUNGEON: THE CRIMSON COURT,82.0,6.8,11.0,18,"Role-Playing, General",Red Hook Studios,2017-06-19
pc,SHE REMEMBERED CATERPILLARS,82.0,5.8,8.0,20,"Puzzle, Action",Ysbryd Games,2017-01-17
pc,TORMENT: TIDES OF NUMENERA,81.0,6.9,72.0,431,"General, General, Role-Playing, Western-Style",InXile Entertainment,2017-02-28
pc,RISING STORM 2: VIETNAM,81.0,7.5,18.0,150,"Action, Shooter, First-Person, Tactical",Antimatter Games,2017-05-30
pc,FAERIA,81.0,7.8,9.0,39,"Miscellaneous, Board / Card Game",Abrakam SA,2017-03-08
pc,FORTNITE,81.0,3,11.0,1339,"Action, General, General, Shooter, Third-Person, Tactical",Epic Games,2017-07-25
pc,FINDING PARADISE,81.0,8.5,18.0,174,"Role-Playing, Japanese-Style",Freebird Games,2017-12-14
pc,REIGNS: HER MAJESTY,81.0,7.4,13.0,25,"Simulation, General",Nerial,2017-12-06
pc,LITTLE NIGHTMARES,81.0,8,29.0,481,"General, Action Adventure, Linear",Tarsier Studios,2017-04-28
pc,PRO EVOLUTION SOCCER 2018,81.0,7.1,10.0,168,"Sports, Team, Soccer, Sim",Konami,2017-09-12
pc,STORIES UNTOLD,81.0,7,21.0,82,"Adventure, Text",No Code,2017-02-27
pc,SLIME RANCHER,81.0,8,9.0,139,"Action, Shooter, First-Person, Arcade",Monomi Park,2017-08-01
pc,SOUTH PARK: THE FRACTURED BUT WHOLE,81.0,6.9,23.0,366,"Role-Playing, General",Ubisoft San Francisco,2017-10-17
pc,FIFA 18,81.0,2.8,8.0,369,"Sports, Team, Soccer, Sim",EA Vancouver,2017-09-26
pc,DISHONORED: DEATH OF THE OUTSIDER,81.0,7,24.0,260,"Action Adventure, General",Arkane Studios,2017-09-14
pc,ANTIHERO,81.0,7,14.0,21,"Strategy, Turn-Based, Tactics",Tim Conkling,2017-07-10
pc,THE ELDER SCROLLS: LEGENDS,80.0,5.5,17.0,108,"Miscellaneous, Board / Card Game","Bethesda Softworks, Dire Wolf Digital",2017-03-20
pc,ENDLESS SPACE 2,80.0,7.9,48.0,172,"Strategy, Turn-Based, 4X",Amplitude Studios,2017-05-19
pc,THE EVIL WITHIN 2,80.0,8.8,28.0,1001,"Action Adventure, Survival",Tango Gameworks,2017-10-12
pc,HAND OF FATE 2,80.0,7.4,27.0,62,"Miscellaneous, Board / Card Game",Defiant Development,2017-11-07
pc,FLINTHOOK,80.0,7,10.0,26,"Action, Platformer, 2D",Tribute Games,2017-04-18
pc,BATTLE BROTHERS,80.0,7.9,11.0,122,"Strategy, Turn-Based, Tactics",Overhype Studios,2017-03-24
pc,DARKWOOD,80.0,8.2,16.0,138,"Action Adventure, Horror, Survival",Acid Wizard Studio,2017-07-17
pc,THE LEGEND OF HEROES: TRAILS OF COLD STEEL,80.0,8.2,10.0,112,"Role-Playing, Japanese-Style",Falcom,2017-08-02
pc,TOOTH AND TAIL,80.0,7.8,17.0,37,"Strategy, Real-Time, General",Pocketwatch Games,2017-09-12
pc,THE SIMS 4: CATS & DOGS,80.0,5.1,9.0,69,"Simulation, Virtual, Virtual Life",Maxis,2017-11-10
pc,NIDHOGG 2,80.0,6.5,32.0,22,"Action, General",Messhof,2017-08-15
pc,LIFE IS STRANGE: BEFORE THE STORM - EPISODE 1: AWAKE,80.0,7.5,11.0,113,"Action Adventure, General",Deck Nine Games,2017-08-31
pc,YS SEVEN,80.0,7.6,15.0,29,"Role-Playing, Action RPG",Falcom,2017-08-30
pc,TALES OF BERSERIA,80.0,6.5,18.0,354,"Japanese-Style, Role-Playing, Action RPG",Bandai Namco Games,2017-01-26
pc,SPLASHER,79.0,6.8,7.0,18,"Action, Platformer, 2D",Splashteam,2017-02-07
pc,WILSON'S HEART,79.0,7.9,10.0,17,"Action Adventure, Adventure, General",Twisted Pixel Games,2017-04-21
pc,A HAT IN TIME,79.0,8.7,39.0,460,"Action, Platformer, 3D",Gears for Breakfast,2017-10-05
pc,RUMU,79.0,6.4,8.0,5,"Adventure, General",Robot House,2017-12-12
pc,THE INNER WORLD: THE LAST WIND MONK,79.0,6.3,8.0,11,"Adventure, General",Fizbin,2017-10-20
pc,CAT QUEST,79.0,7.6,10.0,48,"Role-Playing, Action RPG",The Gentlebros,2017-08-08
pc,BATMAN: THE ENEMY WITHIN - THE TELLTALE SERIES,79.0,7.2,9.0,126,"Adventure, Point-and-Click",Telltale Games,2017-08-08
pc,ZWEI: THE ILVARD INSURRECTION,79.0,8,8.0,10,"Role-Playing, Action RPG",Falcom,2017-10-31
pc,HEAT SIGNATURE,79.0,7.2,7.0,27,"Action, General",Tom Francis,2017-09-21
pc,HEARTHSTONE: HEROES OF WARCRAFT - JOURNEY TO UN'GORO,79.0,3.8,8.0,54,"Strategy, Turn-Based, Card Battle",Blizzard Entertainment,2017-04-06
